K1,Construction,Warp,Weft,EPI-PPI
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN,20OE.RECY.COT,20OE.RECY.COT-106*56-161.9-PLAIN,106*56
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN,20OE.RECY.COT,20OE.RECY.COT-106*56-161.9-PLAIN,106*56
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN,20OE.RECY.COT,20OE.RECY.COT-106*56-161.9-PLAIN,106*56
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-154.5-PLAIN,20OE.RECY.COT,20OE.RECY.COT-106*56-154.5-PLAIN,106*56
12031,20OE*20OE-106*56-154.5-PLAIN,20OE,20OE-106*56-154.5-PLAIN,106*56
12031,20OE*20OE-106*56-154.5-PLAIN,20OE,20OE-106*56-154.5-PLAIN,106*56
12031,20OE*20OE-106*56-154.5-PLAIN,20OE,20OE-106*56-154.5-PLAIN,106*56
12031,20OE*20OE-106*56-154.5-PLAIN,20OE,20OE-106*56-154.5-PLAIN,106*56
12031,20OE*20OE-106*56-154.5-PLAIN,20OE,20OE-106*56-154.5-PLAIN,106*56
12031,20OE*20K-106*56-154.5-PLAIN,20OE,20K-106*56-154.5-PLAIN,106*56
12031,20K.RECY.COT*20K.RECY.COT-106*56-154.5-PLAIN,20K.RECY.COT,20K.RECY.COT-106*56-154.5-PLAIN,106*56
12031,20K*20K-106*56-154.5-PLAIN,20K,20K-106*56-154.5-PLAIN,106*56
12031,20K*20K-106*56-154.5-PLAIN,20K,20K-106*56-154.5-PLAIN,106*56
12031,20COM*20COM-106*56-154.5-PLAIN,20COM,20COM-106*56-154.5-PLAIN,106*56
12031,20C.RECY.COT*20C.RECY.COT-106*56-154.5-PLAIN,20C.RECY.COT,20C.RECY.COT-106*56-154.5-PLAIN,106*56
12031,20C*20C-106*56-154.5-PLAIN,20C,20C-106*56-154.5-PLAIN,106*56
12047,20OE*20K-106*56-157.5-3/1 S TWILL,20OE,20K-106*56-157.5-3/1 S TWILL,106*56
12047,20OE RC*20OE RC -106*56-157.5-3/1 S TWILL,20OE RC,20OE RC -106*56-157.5-3/1 S TWILL,106*56
12047,20K*20OE-106*56-157.7-3/1 S TWILL,20K,20OE-106*56-157.7-3/1 S TWILL,106*56
12047,20K*20K-106*56-161.9-3/1 S TWILL,20K,20K-106*56-161.9-3/1 S TWILL,106*56
12047,20COM*20COM-106*56-157.5-3/1 S TWILL,20COM,20COM-106*56-157.5-3/1 S TWILL,106*56
12047,20C*20C-106*56-161.9-3/1 S TWILL,20C,20C-106*56-161.9-3/1 S TWILL,106*56
12047,20OE*20OE-106*56-159.5-3/1 TWILL,20OE,20OE-106*56-159.5-3/1 TWILL,106*56
12047,20OE*20OE-106*56-158-3/1 TWILL,20OE,20OE-106*56-158-3/1 TWILL,106*56
12047,20C*20C-106*56-157.5-3/1 TWILL,20C,20C-106*56-157.5-3/1 TWILL,106*56
12047,"20OE*20OE-106*56-157-3/1,S TWILL",20OE,"20OE-106*56-157-3/1,S TWILL",106*56
12047,"20OE*20OE-106*56-157.5-3/1,S TWILL-",20OE,"20OE-106*56-157.5-3/1,S TWILL-",106*56
12047,"20OE*20OE-106*56-157.5-3/1,S TWILL",20OE,"20OE-106*56-157.5-3/1,S TWILL",106*56
12047,"20OE*20OE-106*56-157.5-3/1,S TWILL",20OE,"20OE-106*56-157.5-3/1,S TWILL",106*56
12047,"20OE*20K-106*56-157.5-3/1,S TWILL",20OE,"20K-106*56-157.5-3/1,S TWILL",106*56
12047,"20OE*20K-106*56-157.5-3/1,S TWILL",20OE,"20K-106*56-157.5-3/1,S TWILL",106*56
12047,"20OE*20C-106*56-157.5-3/1,S TWILL",20OE,"20C-106*56-157.5-3/1,S TWILL",106*56
12047,"20K.COM*20K.COM-106*56-157.5-3/1,S TWILL",20K.COM,"20K.COM-106*56-157.5-3/1,S TWILL",106*56
12047,"20K*20K-106*56-157.7-3/1,S TWILL",20K,"20K-106*56-157.7-3/1,S TWILL",106*56
12047,"20K*20K-106*56-157.5-3/1,S TWILL",20K,"20K-106*56-157.5-3/1,S TWILL",106*56
12047,"20C*20C-106*56-157.5-3/1,S TWILL",20C,"20C-106*56-157.5-3/1,S TWILL",106*56
12047,"20C*20C-106*56-157.5-3/1,S TWILL",20C,"20C-106*56-157.5-3/1,S TWILL",106*56
12051,20K*10OE-120*60-160-3/1 TWILL,20K,10OE-120*60-160-3/1 TWILL,120*60
12091,20OE*16OE-128*60-155.7-3/1 (S)TWILL,20OE,16OE-128*60-155.7-3/1 (S)TWILL,128*60
