k1,k2,k3,k4,construction
12-14790,BAMMO,W11001,HH04,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,BAMMO,W11001,HH05,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,BAMMO1,W11001,HH06,32COM.OG*32COM.OG *64-PLAIN
12-14790,BAMMO1,W11001,HH07,32COM.OG*32COM.OG *64-PLAIN
12-15141,BAMFBW,W11001,DD02,30COM*220D.PET STRETCH-4/1 S SATIN
12-15141,BAMFBWJ,W11001,DD02,30COM*220D.PET STRETCH-4/1 S SATIN
12-15141,BAMFW,W11001,DD01,30COM*220D.PET STRETCH-198*84-140-4/1 S SATIN-170 $
12-15350,BAMMO,C33001,RR01,40COM.OG+40MEL*40COM.OG+40MEL-94*80-140-PLAIN 111 $
12-15350,BAMMO,C33001,RR02,40COM.OG+40MEL*40COM.OG+40MEL-94*80-140-PLAIN 111 $
12-15350,BAMMO,C33001,RR03,40COM.OG+40MEL*40COM.OG+40MEL-94*80-140-PLAIN 111 $
12-15360,BAMMO,C86001,HH01,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15360,BAMMO,C86001,HH02,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15365,BAMMO,C86002,HH01,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15365,BAMMO,C86002,HH02,50COM.OG+50MC.OG*50COM.OG+50MC.OG-98*76-137-PLAIN 88 $
12-15370,BAMMO,C55001,HH01,40COM.OG+40MEL*40COM.OG+40MEL-110*90-152-2/2 S TWILL 130 $
12-15370,BAMMO,C55001,HH02,40COM.OG+40MEL*40COM.OG+40MEL-110*90-152-2/2 S TWILL 130 $
12-15840,BAMC,S21001,HH01,"2/40MEL+2/40COM*20SPX-112*66-136-3/1,Z TWILL 250 $"
12-15840,BAMC,S21001,HH02,"2/40MEL+2/40COM*20SPX-112*66-136-3/1,Z TWILL 250 $"
12-15840,BAMC,S21001,HH03,"2/40MEL+2/40COM*20SPX-112*66-136-3/1,Z TWILL 250 $"
12-16240,BAMMO,C44001,HH01,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-16240,BAMMO,C44001,HH02,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-16620,BACCO,C22001,HH02,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
12-16620,BACCO,C22001,HH03,16MEL.OG+16K.OG*16MEL.OG+16K.OG-64*52-138-2/2 Z TWILL 190 $
12-16620,BAKKO,C22001,HH01,16K.OG*16K.OG-2/2 Z TWILL
12-16620,BAKKO,C22001,HH04,16K.OG+16MEL.OG*16K.OG+16MEL.OG--64*52-138-2/2 Z TWILL 190 $
12-16620,BAOOO,C22001,HH01,16OE.OG*16OE.OG-64*52-138-2/2 Z TWILL 190 $
12-16620,BAOOO,C22001,HH04,16OE.OG+16MEL.OG*16OE.OG+16MEL.OG-64*52-138-2/2 Z TWILL 190 $
12-17130,BAMMO,C22001,HH01,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17130,BAMMO,C22001,HH02,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17130,BAMMO,C22001,HH03,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17130,BAMMO,W11001,HH01,40COM.OG*40COM.OG- *70-DOBBY-MOCKLENO
12-17130,BAMMO,W11001,HH02,40COM.OG*40COM.OG-100*70-143-DOBBY-MOCKLENO 103 $
12-17350,LXMMX,S21002,HH01,80COM*60COM.OG-92*84-150-PLAIN 64 $
12-17350,LXMMX,S21002,VV01,80COM*60COM.OG-PLAIN
12-17355,LXMMX,S21001,HH01,80COM*60COM.OG-92*84-150-PLAIN 64 $
12-17355,LXMMX,S21001,VV01,80COM*60COM.OG-PLAIN
12-17550,LXMMX,S21001,HH01,80COM*60COM.OG- *84-DOBBY
12-17550,LXMMX,S21001,HH02,80COM*60COM.OG- *84-DOBBY
12-17570,BACC,S41001,DH01,"45C.PC*30C.PC- *68-2/1,S TWILL"
12-17610,BAMFW,S31001,DH01,"30COM*200D.PET.STR-200*84-139-4/1,S SATIN 266 $"
12-17611,BAMFW,S31001,DH01,30COM*220D.PET STRETCH-198*84-140-4/1 S SATIN-170 $
12-17775,LXMM,W11001,HH01,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
12-17775,LXMM,W11001,HH03,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
12-17775,LXMMJ,W11001,HH01,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
12-17775,LXMMJ,W11001,HH03,3/100COM*3/100COM-170*86-152-2/2 Z TWILL 189 $
