k1,k2,k3,k4,construction
16000265,BAMM,W11001,HH12,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH13,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH14,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH15,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH16,60COM*60MEL-148*104-156-PLAIN-109 $
16000281,BAMM,W11001,HH01,60COM*60MEL- -PLAIN
16000281,BAMM,W11001,HH02,60COM*60MEL- -PLAIN
16000316,BAMMO,W11001,HH01,60COM.OG*60COM.OG-132*118-165.1-PLAIN
16000353,BAMMN,S14001,HH01,60COM*60COM- *122- -JACQUARD
16000353,BAMMN,S14001,HH02,60COM*60COM- *122- -JACQUARD
16000353,BAMMN,S14001,HH03,60COM*60COM- *122- -JACQUARD
16000354,BAMMN,F12001,HH01,60COM*60COM- *122- -JACQUARD
16000354,BAMMN,F12001,HH02,60COM*60COM- *122- -JACQUARD
16000354,BAMMN,F12001,HH03,60COM*60COM- *122- -JACQUARD
16000355,BAMMN,W11001,HH01,60COM*60COM- *122- -JACQUARD
16000355,BAMMN,W11001,HH02,60COM*60COM- *122- -JACQUARD
16000356,BAMMN,W11001,HH01,60COM*60COM- *124-JACQUARD
16000364,BAMMN,S13021,HH01,60COM*60COM- *124- -JACQUARD
16000365,BAMMN,S21001,HH01,60COM*60COM- *124- -JACQUARD
16000365,BAMMN,S21001,HH02,60COM*60COM- *124- -JACQUARD
16000366,BAMMN,S21001,HH01,60COM*60COM- *124- -JACQUARD
16000366,BAMMN,S21001,HH02,60COM*60COM- *124- -JACQUARD
16000367,BAMMN,S21001,HH01,60COM*60COM- *124- -JACQUARD
16000367,BAMMN,S21001,HH02,60COM*60COM- *124- -JACQUARD
16000368,BAMMN,S12001,HH01,60COM*60COM- *124- -JACQUARD
16000368,BAMMN,S12001,HH02,60COM*60COM- *124- -JACQUARD
16000368,BAMMN,S12001,HH03,60COM*60COM- *124- -JACQUARD
16000369,BAMMN,S31001,HH01,60COM*60COM- -JACQUARD
16000369,BAMMN,S31001,HH02,60COM*60COM- -JACQUARD
16000370,BAMMN,S23001,HH01,60COM*60COM- *124- -JACQUARD
16000370,BAMMN,S23001,HH02,60COM*60COM- *124- -JACQUARD
16000371,BAMMN,S23001,HH01,60COM*60COM- *124- -JACQUARD
16000371,BAMMN,S23001,HH02,60COM*60COM- *124- -JACQUARD
16000372,BAMMN,S31001,HH01,60COM*60COM- *124- -JACQUARD
16000372,BAMMN,S31001,HH02,60COM*60COM- *124- -JACQUARD
16000373,BAMMN,S15001,HH01,60COM*60COM- -JACQUARD
16000373,BAMMN,S15001,HH02,60COM*60COM- -JACQUARD
16000374,BAMMN,S14001,HH01,60COM*60COM- -JACQUARD
16000374,BAMMN,S14001,HH02,60COM*60COM- -JACQUARD
16000375,BAMMN,S13001,HH01,60COM*60COM- -JACQUARD
16000375,BAMMN,S13001,HH02,60COM*60COM- -JACQUARD
16000376,BAMMN,C23001,HH01,60COM*60COM- -JACQUARD
16000376,BAMMN,C23001,HH02,60COM*60COM- -JACQUARD
16000377,BAMMN,F12001,HH01,60COM*60COM- -JACQUARD
16000377,BAMMN,F12001,HH02,60COM*60COM- -JACQUARD
16000377,BAMMN,W11001,HH01,60COM*60COM- -JACQUARD
16000378,BAMMN,W11001,HH01,60COM*60COM- -JACQUARD
16000378,BAMMN,W11001,HH02,60COM*60COM- -JACQUARD
16000379,BAMMN,S21001,HH01,60COM*60COM- -JACQUARD
16000380,BAMMN,C33001,HH01,60COM*60COM- -JACQUARD
16000380,BAMMN,C33001,HH02,60COM*60COM- -JACQUARD
16000381,BAMMN,S14001,HH01,60COM*60COM- -JACQUARD
16000381,BAMMN,S14001,HH02,60COM*60COM- -JACQUARD
16000382,BAMMN,C22001,HH01,60COM*60COM- -JACQUARD
16000382,BAMMN,C22001,HH02,60COM*60COM- -JACQUARD
16000383,BAMMN,S12001,HH01,60COM*60COM- -JACQUARD
16000383,BAMMN,S12001,HH02,60COM*60COM- -JACQUARD
16000384,BAMMN,S41001,HH01,60COM*60COM- -JACQUARD
16000384,BAMMN,S41001,HH02,60COM*60COM- -JACQUARD
160272,BAMM,W11001,RR01,60MEL*60MEL-150*100-154-PLAIN-105 $
160272,BAMM,W11001,RR03,60MEL*60MEL-150*100-154-PLAIN-105 $
16086,BAMM,W11001,RR03,60MEL*60MEL-132*100-149-PLAIN-100 $
16086,BAMM,W11001,RR04,60MEL*60MEL-132*100-149-PLAIN-100 $
160866,BAMM,F21001,HH10,60COM*60COM-158*110-149-PLAIN-111
17000034,BAMM,W11001,HH01,70COM*60MEL- -2/2 HBT
17000034,BAMM,W11001,RR01,70COM*60MEL- -2/2 HBT
23600005,BAKK,W11001,FD01,2/36ARARMID*2/36ARAMID-69*50-156-PLAIN-165
23600005,BAKK,W11001,FD02,2/36ARARMID*2/36ARAMID-69*50-156-PLAIN-165
23600005,BAKK,W11001,FD03,2/36ARARMID*2/36ARAMID-69*50-156-PLAIN-165
24000134,BAKK,W11001,FD01,2/40ARAMID*2/40ARAMID-62*48-152-PLAIN-153 $
250470,BAMM,C22001,HH02,DISCARD
28000080,BAMMNJ,C33001,NRR01,2/80COM*40COM- -DOBBY(4/4 Z TWILL)-08.08.309
2A000048,BAPMN,W11001,RR02,2/100COM*60MEL- *96-DOBBY
2A000051,BAMMN,W11001,HH01,2/100COM*50COM- *108-2/1 Z TWILL
2A000051,BAMMN,W11001,HH02,2/100COM*50COM- *108-2/1 Z TWILL
A110A226,BAOO,C24001,HH02,10OE*16OE+16SPX(70D)-66*58*145-2/2 S TWILL 275 $
A110A280,LLOCJ,S22001,HH01,10OE*16SPX(70D)+16OE- -PLAIN
A110A533,HOKT,S12001,DH01,10OE*16K P+10K Spx 70D - *100- -DOBBY
A112A040,BAOO,C22007,HH01,12OE*12OE-2/2 Z TWILL TIM
A115A004,OSPPPROVI,C22001,HH03,15FLAX.VIS*15FLAX.VIS-44*44-170.2-PLAIN
A116A153,BAOC,W11001,HH02,16OE*20SPX-TIM
